,0
0,127.82351
1,128.23076
2,128.72894
3,129.32983
4,128.22481
5,128.8324
6,127.570885
7,127.29873
8,127.92986
9,127.36875
10,127.61091
11,127.81237
12,127.78423
13,128.09703
14,133.65396
15,133.74562
16,134.81105
17,117.98348
18,110.61983
19,122.12738
20,135.5309
21,135.48999
22,135.41013
23,159.0237
24,165.19069
25,164.43797
26,163.44145
27,164.02367
28,163.2926
29,165.05977
30,165.4452
31,165.79901
32,165.71805
33,136.52705
34,135.57565
35,134.7832
36,135.50798
37,135.64047
38,144.74664
39,135.24277
40,135.8148
41,135.19963
42,135.10326
43,135.21901
44,136.09387
45,135.54222
46,134.76038
47,144.21721
48,165.576
49,163.68488
50,164.43004
51,162.26474
52,164.12991
53,162.53908
54,162.48616
55,161.9093
56,162.71216
57,155.88576
58,134.04715
59,135.06677
60,135.74863
61,135.65717
62,135.80595
63,135.52858
64,135.58327
65,134.62456
66,134.95148
67,135.40417
68,135.13065
69,133.91869
70,134.11038
71,134.34625
72,134.19075
73,133.90622
74,133.7988
75,134.20476
76,132.65042
77,126.646034
78,118.72025
79,118.91403
80,110.80089
81,110.34937
82,135.10243
83,133.69095
84,134.09813
85,120.042244
86,110.64947
87,109.87725
88,110.34413
89,109.982216
90,134.4664
91,128.7846
92,121.24213
93,135.40555
94,134.18372
95,161.71251
96,130.3242
97,131.74521
98,131.89288
99,131.18427
100,130.84634
101,125.44406
102,107.73167
103,109.68502
104,107.48708
105,107.10507
106,134.67876
107,136.35248
108,135.0897
109,135.3429
110,135.87868
111,129.7357
112,133.6074
113,134.06216
114,130.73666
115,134.13374
116,134.15283
117,124.357
118,108.06257
119,157.24742
120,165.23004
121,163.21367
122,165.08493
123,164.30806
124,165.22612
125,165.70802
126,165.61543
127,165.64798
128,165.99516
129,164.85764
130,165.28983
131,140.58939
132,113.67882
133,133.3305
134,134.53456
135,135.49821
136,125.341774
137,128.7915
138,127.92129
139,130.40843
140,126.46244
141,110.2914
142,109.204475
143,110.64909
144,118.53058
145,163.57216
146,159.81961
147,112.835434
148,111.769714
149,112.953285
150,129.83524
151,123.01181
152,121.30992
153,121.3341
154,118.658936
155,124.06411
156,125.34505
157,133.80806
158,134.42769
159,136.0314
160,127.05054
161,129.98108
162,124.31952
163,122.86155
164,132.9246
165,113.287834
166,130.85107
167,132.95087
168,126.22181
169,128.89029
170,124.14547
171,122.174675
172,111.38177
173,107.68178
174,107.098045
175,135.24919
176,136.60944
177,106.73734
178,105.20945
179,105.43644
180,105.859146
181,108.635185
182,160.47765
183,126.0189
184,106.5931
185,105.52182
186,106.33228
187,105.98943
188,105.87161
189,108.8975
190,108.1189
191,108.87597
192,109.306274
193,108.92813
194,108.06205
195,108.34102
196,132.24075
197,131.80446
198,130.86987
199,134.63466
200,134.48604
201,130.06587
202,135.33087
203,135.56123
204,130.62923
205,123.6795
206,124.46016
207,126.26831
208,106.35614
209,134.18408
210,134.39117
211,134.16637
212,132.30109
213,131.6475
214,110.36379
215,111.32326
216,128.96992
217,127.09276
218,136.32584
219,136.6178
220,124.28256
221,135.39253
222,134.67886
223,135.70642
224,135.971
225,135.3503
226,135.2877
227,135.16592
228,135.78267
229,135.47438
230,135.30452
231,134.38802
232,136.13731
233,123.63667
234,135.68613
235,127.521095
236,135.87996
237,116.1306
238,114.010704
239,126.46648
240,110.591064
241,124.59076
242,122.796104
243,123.68881
244,123.63415
245,125.24205
246,125.56915
247,129.40794
248,133.09482
249,135.6014
250,132.52007
251,131.52554
252,129.76224
253,128.99132
254,125.092094
255,135.64732
256,136.00247
257,135.3783
258,128.12498
259,131.21445
260,121.63866
261,135.45792
262,135.36015
263,136.44498
264,135.71242
265,135.6073
266,135.91748
267,134.61322
268,134.80789
269,119.264114
270,122.77394
271,134.21686
272,135.40257
273,135.8517
274,135.62532
275,134.30782
276,133.83492
277,134.97989
278,133.77296
279,135.26697
280,135.78575
281,116.09429
282,112.27643
283,115.768745
284,123.448654
285,123.284676
286,124.84678
287,112.63801
288,106.97469
289,108.76307
290,112.470924
291,109.783356
292,112.05013
293,111.701324
294,120.69466
295,126.67558
296,127.33936
297,124.42524
298,123.35135
299,122.29564
300,133.78085
301,135.26923
302,135.86214
303,133.46078
304,132.32977
305,134.75343
306,125.14157
307,125.7284
308,124.3554
309,125.132675
310,124.6792
311,124.03131
312,128.76256
313,125.822556
314,128.01958
315,127.955605
316,126.012924
317,129.92165
318,122.259544
319,116.99043
320,120.97485
321,118.80737
322,128.83803
323,132.57481
324,135.35503
325,134.9335
326,135.36342
327,135.14433
328,136.97925
329,137.40141
330,137.45366
331,124.53341
332,137.49713
333,137.48555
334,136.85019
335,137.53256
336,137.15866
337,137.3982
338,136.87111
339,137.217
340,137.64854
341,132.06503
342,128.78479
343,108.52416
344,122.77298
345,118.83938
346,136.67807
347,137.3784
348,137.03033
349,137.7764
350,137.55132
351,122.68907
352,113.64654
353,113.04601
354,114.513916
355,117.582054
356,137.3413
357,137.2531
358,131.89105
359,133.22658
360,131.89107
361,129.51778
362,128.16843
363,128.64612
364,127.81783
365,124.39629
366,123.686035
367,126.9194
368,124.00469
369,138.31923
370,138.17087
371,135.44989
372,115.00213
373,116.289696
374,116.49719
375,116.06442
376,116.41146
377,116.45022
378,130.13264
379,140.59811
380,139.80733
381,137.5913
382,139.08484
383,138.3658
384,137.99142
385,138.05615
386,138.67488
387,138.2928
388,130.32956
389,128.22568
390,126.372055
391,126.686714
392,122.75191
393,132.31612
394,139.73283
395,131.21591
396,131.68967
397,115.82671
398,115.637726
399,115.88852
400,115.78068
401,133.67004
402,132.80182
403,131.37257
404,131.01443
405,135.07335
406,137.60516
407,137.56133
408,137.90822
409,137.87189
410,153.33942
411,151.57828
412,151.62634
413,153.58017
414,152.43692
415,152.31734
416,150.55225
417,150.73723
418,135.49327
419,134.87152
420,129.9824
421,128.92833
422,127.66906
423,124.56863
424,130.14656
425,129.18272
426,129.76505
427,124.85544
428,113.2703
429,113.912224
430,114.67584
431,126.32722
432,136.89734
433,151.37575
434,167.87637
435,168.31601
436,168.95673
437,168.88078
438,167.24355
439,169.9738
440,168.7195
441,169.495
442,122.79573
443,121.803566
444,124.96807
445,124.96452
446,127.14969
447,125.87976
448,114.28726
449,113.01624
450,114.4028
451,130.50587
452,136.85277
453,135.57011
454,135.37476
455,135.5987
456,135.73549
457,133.99313
458,132.51065
459,156.62715
460,165.44043
461,168.09988
462,168.71373
463,130.04494
464,122.32688
465,120.4586
466,123.79997
467,124.75409
468,127.2853
469,126.14633
470,114.427444
471,116.88018
472,127.92895
473,134.32123
474,127.315926
475,127.48086
476,133.49854
477,133.62173
478,133.0698
479,133.25346
480,133.35902
481,133.134
482,133.91568
483,133.22388
484,150.37175
485,163.74135
486,167.99908
487,166.5561
488,166.80351
489,166.83888
490,146.29189
491,110.67797
492,109.376724
493,108.854866
494,107.08414
495,109.82926
496,134.96204
497,135.97841
498,133.69893
499,135.76955
500,135.85217
501,135.21475
502,134.25235
503,135.63007
504,150.97388
505,164.71866
506,164.97533
507,164.05904
508,164.99313
509,163.21712
510,139.04431
511,133.20032
512,108.991295
513,106.433556
514,106.75663
515,138.5615
516,121.25906
517,113.651634
518,154.01141
519,164.1
520,165.28435
521,163.33028
522,164.39317
523,162.5563
524,164.68156
525,163.25189
526,164.96996
527,163.81837
528,165.978
529,165.16736
530,165.80736
531,165.08601
532,134.13655
533,132.63966
534,134.08455
535,135.32803
536,134.72923
537,134.35802
538,134.05164
539,134.18263
540,135.24364
541,134.52121
542,166.93227
543,163.96059
544,163.83458
545,163.66318
546,164.29071
547,164.70662
548,166.08417
549,165.23637
550,166.62167
551,167.4994
552,157.85597
553,129.74573
554,133.15413
555,133.73373
556,129.96783
557,144.82817
558,137.57257
559,137.63371
560,137.42894
561,137.2316
562,137.21638
563,147.09969
564,137.69392
565,135.87766
566,135.49994
567,136.99272
568,136.88019
569,137.83202
570,135.38779
571,136.34015
572,136.349
573,136.15157
574,135.90392
575,135.99136
576,135.76561
577,135.05537
578,135.04478
579,134.43465
580,136.42516
581,136.41069
582,136.67096
583,136.8698
584,135.7792
585,135.93806
586,136.59305
587,143.98856
588,138.54115
589,137.96407
590,137.02538
591,137.82184
592,137.6046
593,137.86568
594,137.03214
595,138.33156
596,138.49757
597,137.25122
598,130.40318
599,123.84362
600,122.365906
601,126.37388
602,129.17326
603,137.66373
604,136.79146
605,131.05879
606,130.66768
607,130.49745
608,130.1094
609,131.72139
610,131.7192
611,131.58894
612,131.81851
613,134.6974
614,137.32982
615,136.31044
616,135.2726
617,135.25238
618,136.12508
619,136.05266
620,136.0754
621,136.65431
622,136.48567
623,135.7825
624,135.7373
625,135.5779
626,136.23756
627,135.85738
628,135.79219
629,134.94986
630,136.54765
631,111.932816
632,126.41299
633,130.44786
634,132.08217
635,136.04718
636,136.86531
