,0
0,109.29611
1,103.67988
2,117.15096
3,121.47446
4,122.02875
5,121.963326
6,120.10199
7,121.40948
8,122.98932
9,122.47003
10,122.71214
11,121.92773
12,121.961075
13,121.29196
14,122.555626
15,121.92731
16,110.90714
17,104.649994
18,108.074776
19,136.93182
20,160.07623
21,157.9641
22,160.621
23,159.51758
24,159.02983
25,158.46062
26,159.24626
27,157.477
28,158.46802
29,159.34329
30,124.24882
31,119.00527
32,121.71624
33,121.26916
34,121.05593
35,118.67724
36,108.27108
37,106.363174
38,109.68528
39,124.222786
40,160.5034
41,157.3705
42,157.07166
43,154.94498
44,156.50827
45,157.05527
46,158.91513
47,158.61852
48,158.84218
49,158.63782
50,158.93318
51,159.80765
52,141.96942
53,124.20511
54,115.51951
55,110.708405
56,108.0995
57,107.98718
58,107.67239
59,108.004326
60,108.548515
61,108.54496
62,109.46468
63,109.213135
64,118.00173
65,127.559456
66,126.176476
67,125.94215
68,125.03951
69,124.89916
70,123.44512
71,123.05579
72,122.25163
73,121.78887
74,116.39472
75,110.43415
76,122.36001
77,116.128685
78,103.966576
79,112.74374
80,122.629105
81,131.38844
82,155.75381
83,153.81882
84,154.70334
85,151.8717
86,154.50024
87,150.74434
88,126.369484
89,128.05823
90,125.34182
91,123.43505
92,122.66313
93,122.179726
94,120.917496
95,118.31387
96,119.65995
97,118.62774
98,106.43354
99,104.61701
100,104.099785
101,103.67199
102,102.1237
103,103.15624
104,103.51129
105,142.2275
106,155.79137
107,157.19147
108,155.21585
109,155.94615
110,154.53209
111,154.66628
112,154.35675
113,152.61374
114,108.286095
115,107.23117
116,106.812416
117,112.940865
118,106.72956
119,104.92379
120,105.422005
121,129.07727
122,139.59894
123,152.66605
124,144.64243
125,141.82346
126,138.97044
127,139.50749
128,143.38568
129,151.28476
130,164.07986
131,161.85887
132,165.86107
133,164.36615
134,164.88092
135,164.27472
136,169.34425
137,163.0708
138,161.37347
139,164.7467
140,123.699066
141,123.42219
142,111.21265
143,116.111984
144,119.74612
145,123.03733
146,167.9476
147,167.59712
148,167.72643
149,165.91682
150,165.4241
151,165.52457
152,165.21683
153,164.30489
154,165.48297
155,166.03542
156,166.52802
157,166.0032
158,166.6907
159,165.32597
160,166.00368
161,164.50432
162,167.54004
163,165.00441
164,164.63734
165,164.12578
166,166.69034
167,169.30371
168,170.12497
169,167.57121
170,171.90588
171,170.27332
172,163.30545
173,161.9954
174,159.57262
175,161.54408
176,161.17928
177,162.02762
178,160.64252
179,159.8134
180,161.11697
181,160.0188
182,159.90292
183,157.8378
184,158.90604
185,157.79468
186,153.20224
187,140.99043
188,151.99928
189,150.53809
190,151.24216
191,150.04826
192,150.52084
193,148.92244
194,144.62636
195,133.02544
196,128.3116
197,127.49786
198,128.30182
199,126.55605
200,118.634674
201,139.8993
202,142.91649
203,155.15228
204,154.64851
205,154.50963
206,153.12364
207,151.31433
208,152.08057
209,152.76697
210,153.64378
211,152.12926
212,151.73363
213,151.28647
214,151.26602
215,151.75726
216,149.13887
217,149.21661
218,150.80661
219,151.63602
220,158.81061
221,158.18372
222,159.97461
223,159.31143
224,158.51521
225,160.85641
226,159.84665
227,157.56725
228,157.28635
229,156.38559
