,0
0,110.97225
1,105.23064
2,118.817276
3,124.27625
4,125.079414
5,125.14628
6,122.39584
7,124.25049
8,126.38591
9,125.6842
10,126.06423
11,125.012184
12,125.17633
13,124.1567
14,126.027916
15,125.04604
16,112.51497
17,106.18425
18,109.80106
19,139.72554
20,161.04593
21,159.14163
22,161.54466
23,160.53084
24,160.12463
25,159.68869
26,160.3807
27,158.7231
28,159.69632
29,160.51869
30,127.923485
31,120.93434
32,124.73575
33,124.115845
34,123.81883
35,120.60026
36,109.86026
37,108.07727
38,111.49079
39,128.06816
40,161.49896
41,158.7362
42,158.39854
43,156.51445
44,157.89453
45,158.35341
46,160.04445
47,159.74918
48,160.03609
49,159.85399
50,160.08502
51,160.89238
52,144.3834
53,127.912
54,117.23102
55,112.432846
56,109.93597
57,109.56227
58,109.365486
59,109.84918
60,110.34021
61,110.17279
62,111.06809
63,110.83491
64,119.85761
65,130.908
66,129.84941
67,129.68456
68,128.81863
69,128.56754
70,127.17347
71,126.73753
72,125.442535
73,124.88844
74,118.12519
75,112.26521
76,125.87928
77,117.985535
78,105.72712
79,114.53136
80,126.11234
81,134.63509
82,157.28848
83,155.49857
84,156.23
85,153.71263
86,156.07509
87,152.6085
88,129.73587
89,131.32204
90,128.79999
91,127.20157
92,126.0204
93,125.27064
94,123.53037
95,120.38055
96,121.60421
97,120.53583
98,108.02469
99,106.197075
100,105.47957
101,105.14247
102,103.830315
103,104.50799
104,104.99534
105,144.67996
106,157.31668
107,158.56319
108,156.74226
109,157.41351
110,156.11658
111,156.26248
112,155.94301
113,154.07265
114,109.84044
115,108.81887
116,108.42487
117,114.58257
118,108.22856
119,106.44395
120,107.07113
121,132.57347
122,142.40398
123,154.289
124,146.96432
125,144.38515
126,141.86238
127,142.32822
128,145.89763
129,152.81062
130,164.54004
131,162.63838
132,166.01387
133,164.82115
134,165.1811
135,164.75377
136,169.07776
137,163.6934
138,162.17828
139,165.12914
140,127.54337
141,126.90711
142,112.7129
143,117.95021
144,121.585
145,126.42558
146,167.85054
147,167.5854
148,167.73102
149,166.18336
150,165.73828
151,165.78813
152,165.61636
153,164.75182
154,165.84816
155,166.35602
156,166.74405
157,166.23618
158,166.7904
159,165.70847
160,166.23558
161,165.0051
162,167.55547
163,165.38739
164,165.07909
165,164.6717
166,166.81192
167,169.16599
168,169.7525
169,167.57507
170,171.29819
171,169.8856
172,163.96227
173,162.8196
174,160.74193
175,162.53577
176,162.05574
177,162.78177
178,161.63763
179,160.7887
180,161.9209
181,160.96597
182,160.95105
183,159.13182
184,160.04128
185,159.04634
186,154.76561
187,143.29454
188,153.91823
189,152.727
190,153.24742
191,152.1783
192,152.585
193,151.0381
194,146.97565
195,136.14891
196,131.6759
197,131.116
198,131.68967
199,130.1125
200,120.47625
201,142.70894
202,145.44606
203,156.67628
204,156.31084
205,156.17554
206,154.94067
207,153.41788
208,153.99925
209,154.53902
210,155.25562
211,153.93051
212,153.69435
213,153.20863
214,153.28723
215,153.71548
216,151.23071
217,151.30713
218,152.79701
219,153.58714
220,160.05428
221,159.56029
222,161.06265
223,160.4216
224,159.75116
225,161.85966
226,161.02335
227,158.96465
228,158.73576
229,157.76567
230,159.2336
231,158.30365
232,160.17043
233,160.96759
234,160.47244
235,160.47166
236,160.38747
237,159.17885
238,158.57912
239,158.69312
240,159.40657
241,159.79774
242,159.19315
243,158.69609
244,157.99771
245,159.73407
246,158.50421
247,159.59328
248,158.78836
249,159.7354
250,158.18361
251,158.15239
252,157.09865
